,source_id,source_name,title,description,url
0,,KSL.com,Utah-Arizona game canceled day before season-opener due to COVID-19 - KSL.com,"A day before Utah was set to kick off its 2020 season against Arizona, the game has been canceled due to a rise in COVID-19 cases within the athletic department.",https://www.ksl.com/article/50044330/utah-arizona-game-canceled-day-before-season-opener-due-to-covid-19
1,,ESPN,Minnesota Vikings down three cornerbacks against Detroit Lions - ESPN,"The Vikings will be without cornerbacks Cameron Dantzler, Holton Hill and Mark Fields for their game Sunday against Detroit.",https://www.espn.com/nfl/story/_/id/30267972/minnesota-vikings-three-cornerbacks-detroit-lions
2,,NBCSports.com,Mike Zimmer on Everson Griffen: I thought we had a good relationship - NBC Sports - NFL,"Vikings coach Mike Zimmer intended to compliment Everson Griffen with his comments Thursday. The defensive end instead took Zimmer calling him a “good player” as a diss. On Friday, Zimmer confirmed he was trying to pay respect to Griffen and remains uncertain…",https://profootballtalk.nbcsports.com/2020/11/06/mike-zimmer-on-everson-griffen-i-thought-we-had-a-good-relationship/
3,,NBCSports.com,Titans to make call on Jadeveon Clowney this weekend - NBC Sports - NFL,"Jadeveon Clowney was out of practice again on Friday due to a knee injury, but the Titans aren’t ready to rule the linebacker out for Sunday’s game against the Bears. Titans head coach Mike Vrabel said, via Jim Wyatt of the team’s website, that Clowney needed…",https://profootballtalk.nbcsports.com/2020/11/06/titans-to-make-call-on-jadeveon-clowney-this-weekend/
4,,Bad Left Hook,"Canelo released from contract, wants return against Caleb Plant - Bad Left Hook",The two sides entered mediation in September after Alvarez filed suit,https://www.badlefthook.com/2020/11/6/21553075/canelo-alvarez-released-golden-boy-contract-wants-december-19-return-caleb-plant-boxing-news
5,usa-today,USA Today,UFC on ESPN+ 40 predictions: Can Glover Teixeira stay hot vs. Thiago Santos? - MMA Junkie,Check out our staff members’ picks for the UFC on ESPN+ 40 main card.,https://mmajunkie.usatoday.com/2020/11/ufc-espn-plus-40-predictions-picks-glover-teixeira-vs-thiago-santos
6,,New York Post,Steve Cohen's Mets purchase is officially official - New York Post ,"Steve Cohen is free to begin his transformation of the Mets. The hedge-fund billionaire on Friday closed his $2.4 billion purchase of the franchise from Fred Wilpon and Saul Katz, leaving him as th…",https://nypost.com/2020/11/06/steve-cohens-mets-purchase-is-officially-official/
7,google-news,Google News,"Former Packers WR Donald Driver talks Davante Adams, Aaron Rodgers & DK Metcalf | First Take - ESPN",,https://news.google.com/__i/rss/rd/articles/CBMiK2h0dHBzOi8vd3d3LnlvdXR1YmUuY29tL3dhdGNoP3Y9Z1d2T19qYjVCWmPSAQA?oc=5
8,,Niners Nation,49ers are reportedly signing QB Josh Johnson; Kendrick Bourne receives a second negative COVID test - Niners Nation,"Also, updates on Kendrick Bourne’s latest COVID test",https://www.ninersnation.com/2020/11/6/21552982/49ers-are-reportedly-signing-qb-josh-johnson
9,,Heat.com,Kings Name Mark Jones New TV Play-By-Play Announcer | Sacramento Kings - Kings.com,"The Sacramento Kings announced today that Mark Jones has been named as the team’s new primary TV play-by-play announcer. Universally recognized for his nationally televised work on ESPN and ABC Sports, Jones brings more than 30 years of experience to Sacramen…",https://www.nba.com/kings/news/kings-name-mark-jones-new-tv-play-play-announcer
10,,NDTV News,"IPL, SRH vs RCB Highlights: Kane Williamson Fifty Takes SunRisers Hyderabad Into Qualifier 2 | Cricket News - NDTV Sports","IPL 2020, Sunrisers Hyderabad vs Royal Challengers Bangalore Highlights: SunRisers Hyderabad defeated Royal Challengers Bangalore by six wickets to enter the second qualifier of IPL 2020.",https://sports.ndtv.com/ipl-2020/live-ipl-score-srh-vs-rcb-live-cricket-score-2321711
11,,The Boston Globe,Nine thoughts on the Red Sox following the decision to bring Alex Cora back as manager - The Boston Globe,"If you can get past Cora's involvement in the Astros' cheating scandal, then there is no other way to see this as anything but a great day for the Red Sox.",https://www.bostonglobe.com/2020/11/06/sports/nine-thoughts-red-sox-following-decision-bring-alex-cora-back-manager/
12,fox-news,Fox News,"No blooms, no fans, no roars make this Masters like no other - Fox News",Nothing about this Masters will look familiar until the champion slips his arms through a green jacket.,https://www.foxnews.com/sports/no-blooms-no-fans-no-roars-make-this-masters-like-no-other
13,google-news,Google News,Stephen A. asks Stephen Silas about James Harden trade rumors | First Take - ESPN,,https://news.google.com/__i/rss/rd/articles/CBMiK2h0dHBzOi8vd3d3LnlvdXR1YmUuY29tL3dhdGNoP3Y9QmllRUF4cWRrb1XSAQA?oc=5
14,,ESPN,Dallas Cowboys RB Ezekiel Elliott limited with hamstring strain - ESPN,Ezekiel Elliott was limited in the Cowboys' last two practices with a hamstring strain.,https://www.espn.com/nfl/story/_/id/30267412/dallas-cowboys-rb-ezekiel-elliott-limited-hamstring-strain
15,,Big Blue View,Golden Tate could be inactive for Giants on Sunday - Big Blue View,Coach Joe Judge won’t rule that out as veteran wide receiver continues working with scout team,https://www.bigblueview.com/2020/11/6/21552886/golden-tate-could-be-inactive-for-ny-giants-sunday-joe-judge
16,,New York Post,Clemson QB D.J. Uiagalelei stuck sharing spotlight with father 'Big Dave' - New York Post ,"If you’re tuning into Notre Dame-Clemson Saturday night in South Bend, get ready for a heavy dose of “Big Dave.” The father of D.J. Uiagalelei — Trevor Lawrence’s stan…",https://nypost.com/2020/11/06/clemsons-d-j-uiagalelei-stuck-sharing-spotlight-with-dad/
17,,NBCSports.com,Bengals announce two players test positive for COVID-19 - NBC Sports - NFL,"The Bengals are now on the list of teams dealing with positive COVID-19 tests on their roster. The team announced that two of their players have tested positive for the coronavirus. The Bengals are on their bye week, but daily testing remains in place for tea…",https://profootballtalk.nbcsports.com/2020/11/06/bengals-announce-two-players-test-positive/
18,,The Athletic,Manchester City and Liverpool composite XIs since 2016 - The Athletic,Michael Cox picks a composite XI for each Manchester City v Liverpool game since Guardiola arrived in 2016. It is clear the tide has turned,https://theathletic.com/2180999/2020/11/06/liverpool-manchester-city-composite-xi-klopp-guardiola/
19,google-news,Google News,The Warriors are going to 'WREAK HAVOC' on the NBA - Stephen A. | First Take - ESPN,,https://news.google.com/__i/rss/rd/articles/CBMiK2h0dHBzOi8vd3d3LnlvdXR1YmUuY29tL3dhdGNoP3Y9RFN0dHlNdklXNVXSAQA?oc=5
